schema_name,table_name,column_name,contract_data_type,live_data_type,validation_status
Details TBA,,,,,UNCONTRACTED_COLUMN_ADDED
EG: ,,,,,UNCONTRACTED_COLUMN_ADDED
Approved,,,,,UNCONTRACTED_COLUMN_ADDED
Pending,,,,,UNCONTRACTED_COLUMN_ADDED
eg:,,,,,UNCONTRACTED_COLUMN_ADDED
Independent school day placement,,,,,UNCONTRACTED_COLUMN_ADDED
Independent school residential,,,,,UNCONTRACTED_COLUMN_ADDED
Non-maintained special school setting day placement,,,,,UNCONTRACTED_COLUMN_ADDED
Non-maintained special school setting residential,,,,,UNCONTRACTED_COLUMN_ADDED
Other Independent Special School,,,,,UNCONTRACTED_COLUMN_ADDED
Other Independent School,,,,,UNCONTRACTED_COLUMN_ADDED
Free School Special,,,,,UNCONTRACTED_COLUMN_ADDED
Non-Maintained Early Year settings,,,,,UNCONTRACTED_COLUMN_ADDED
"Special Post 16""",NULL,,,,UNCONTRACTED_COLUMN_ADDED
"Only populated when Reference Code is """"OTHER?""""""",This entity holds all reasons submitted by a provider for cancelling a referral,,,,UNCONTRACTED_COLUMN_ADDED
"Only populated when Reference Code is """"OTHER?""""""",This entity holds all reasons submitted by a provider for declining a referral,,,,UNCONTRACTED_COLUMN_ADDED
"Declined""",This provider entity all key information regarding the provider,,,,UNCONTRACTED_COLUMN_ADDED
"https://docs.aws.amazon.com/AmazonS3/latest/userguide/object-keys.html""",This table holds file metadata uplated to Amazon S3,,,,UNCONTRACTED_COLUMN_ADDED
offer,additional_fee,additional_fee_id,uuid,string,MATCH
offer,additional_fee,export_date,timestamp without time zone,string,MATCH
offer,additional_fee,fee_frequency,character varying(50),string,MATCH
offer,additional_fee,fee_title,character varying(9),string,MATCH
offer,additional_fee,number_of_hours,"numeric(6,1)",string,MATCH
offer,additional_fee,offer_id,uuid,string,MATCH
offer,additional_fee,other_fee_title,character varying(50),string,MATCH
offer,additional_fee,rate,"numeric(6,2)",string,MATCH
provider,ageband,age_band_id,integer,,CONTRACTED_COLUMN_MISSING
provider,ageband,age_band_label,character varying(50),,CONTRACTED_COLUMN_MISSING
provider,ageband,export_date,timestamp without time zone,,CONTRACTED_COLUMN_MISSING
provider,ageband,start_age,integer,,CONTRACTED_COLUMN_MISSING
provider,ageband,up_to_age,integer,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,cognito_id,uuid,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,export_date,timestamp without time zone,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,file_name,character varying,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,id,uuid,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,json_data,jsonb,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,last_modified_date,timestamp without time zone,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,provider_name,character varying,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,review_comments,character varying,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,review_date,timestamp without time zone,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,reviewed_by,uuid,,CONTRACTED_COLUMN_MISSING
provider,form_submissions,status,character varying(50),,CONTRACTED_COLUMN_MISSING
provider,form_submissions,submission_date,timestamp without time zone,,CONTRACTED_COLUMN_MISSING
provider,fost_category_age_band,age_band_id,integer,,CONTRACTED_COLUMN_MISSING
provider,fost_category_age_band,export_date,timestamp without time zone,,CONTRACTED_COLUMN_MISSING
provider,fost_category_age_band,framework_category_id,integer,,CONTRACTED_COLUMN_MISSING
provider,fost_category_age_band,id,uuid,,CONTRACTED_COLUMN_MISSING
provider,fost_category_age_band,provider_id,uuid,,CONTRACTED_COLUMN_MISSING
offer,foster_carer,age,integer,string,MATCH
offer,foster_carer,approval_details,text,string,MATCH
offer,foster_carer,date_of_approval,timestamp without time zone,string,MATCH
offer,foster_carer,email_address,character varying(255),string,MATCH
offer,foster_carer,ethnicity_code,character varying(9),string,MATCH
offer,foster_carer,ethnicity_other,character varying(100),string,MATCH
offer,foster_carer,export_date,timestamp without time zone,string,MATCH
offer,foster_carer,foster_carer_id,uuid,string,MATCH
offer,foster_carer,full_name,character varying(255),string,MATCH
offer,foster_carer,gender_code,character varying(9),string,MATCH
offer,foster_carer,gender_other,character varying(100),string,MATCH
offer,foster_carer,is_primary_carer,boolean,string,MATCH
