schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,contract_loaded_at
,ipa,41,provider_urn,string,true,2026-08-21 09:46:13.725346
,ipa,42,education_included_with_referral,string,true,2026-08-21 09:46:13.725346
,ipa,43,education_provision_name,string,true,2026-08-21 09:46:13.725346
,ipa,44,education_addr_line1,string,true,2026-08-21 09:46:13.725346
,ipa,45,education_addr_line2,string,true,2026-08-21 09:46:13.725346
,ipa,46,education_addr_county,string,true,2026-08-21 09:46:13.725346
,ipa,47,education_addr_town,string,true,2026-08-21 09:46:13.725346
,ipa,48,education_addr_postcode,string,true,2026-08-21 09:46:13.725346
,ipa,49,education_location,string,true,2026-08-21 09:46:13.725346
,ipa,50,education_length_weeks,string,true,2026-08-21 09:46:13.725346
,ipa,51,education_provision_cost,string,true,2026-08-21 09:46:13.725346
,ipa,52,costs_total_weekly_fee,string,true,2026-08-21 09:46:13.725346
,ipa,53,costs_total_core_costs_weekly_fee,string,true,2026-08-21 09:46:13.725346
,ipa,54,core_cost_weekly_fee,string,true,2026-08-21 09:46:13.725346
,ipa,55,payment_method,string,true,2026-08-21 09:46:13.725346
,ipa,56,invoice_recipient_name,string,true,2026-08-21 09:46:13.725346
,ipa,57,invoice_recipient_team,string,true,2026-08-21 09:46:13.725346
,ipa,58,invoice_recipient_email,string,true,2026-08-21 09:46:13.725346
,ipa,59,invoice_addr_line1,string,true,2026-08-21 09:46:13.725346
,ipa,60,invoice_addr_line2,string,true,2026-08-21 09:46:13.725346
,ipa,61,invoice_addr_county,string,true,2026-08-21 09:46:13.725346
,ipa,62,invoice_addr_town,string,true,2026-08-21 09:46:13.725346
,ipa,63,invoice_addr_postcode,string,true,2026-08-21 09:46:13.725346
,ipa,64,schedule_contact_name,string,true,2026-08-21 09:46:13.725346
,ipa,65,schedule_contact_phone,string,true,2026-08-21 09:46:13.725346
,ipa,66,schedule_contact_email,string,true,2026-08-21 09:46:13.725346
,ipa,67,schedule_addr_line1,string,true,2026-08-21 09:46:13.725346
,additional_fee,1,additional_fee_id,string,true,2026-08-21 09:46:13.725346
,additional_fee,2,offer_id,string,true,2026-08-21 09:46:13.725346
,additional_fee,3,fee_title,string,true,2026-08-21 09:46:13.725346
,additional_fee,4,number_of_hours,string,true,2026-08-21 09:46:13.725346
,additional_fee,5,other_fee_title,string,true,2026-08-21 09:46:13.725346
,additional_fee,6,fee_frequency,string,true,2026-08-21 09:46:13.725346
,additional_fee,7,rate,string,true,2026-08-21 09:46:13.725346
,additional_fee,8,export_date,string,true,2026-08-21 09:46:13.725346
,foster_carer,1,foster_carer_id,string,true,2026-08-21 09:46:13.725346
,foster_carer,2,offer_id,string,true,2026-08-21 09:46:13.725346
,foster_carer,3,is_primary_carer,string,true,2026-08-21 09:46:13.725346
,foster_carer,4,full_name,string,true,2026-08-21 09:46:13.725346
,foster_carer,5,age,string,true,2026-08-21 09:46:13.725346
,foster_carer,6,language_code,string,true,2026-08-21 09:46:13.725346
,foster_carer,7,language_other,string,true,2026-08-21 09:46:13.725346
,foster_carer,8,gender_code,string,true,2026-08-21 09:46:13.725346
,foster_carer,9,gender_other,string,true,2026-08-21 09:46:13.725346
,foster_carer,10,ethnicity_code,string,true,2026-08-21 09:46:13.725346
,foster_carer,11,ethnicity_other,string,true,2026-08-21 09:46:13.725346
,foster_carer,12,religion_code,string,true,2026-08-21 09:46:13.725346
,foster_carer,13,religion_other,string,true,2026-08-21 09:46:13.725346
,foster_carer,14,phone_number,string,true,2026-08-21 09:46:13.725346
,foster_carer,15,email_address,string,true,2026-08-21 09:46:13.725346
,foster_carer,16,date_of_approval,string,true,2026-08-21 09:46:13.725346
,foster_carer,17,approval_details,string,true,2026-08-21 09:46:13.725346
,foster_carer,18,export_date,string,true,2026-08-21 09:46:13.725346
,foster_home,1,foster_home_id,string,true,2026-08-21 09:46:13.725346
,holding_company,2,company_name,string,true,2026-08-21 09:46:13.725346
,holding_company,3,address_line_1,string,true,2026-08-21 09:46:13.725346
,holding_company,4,address_line_2,string,true,2026-08-21 09:46:13.725346
,holding_company,5,town_city,string,true,2026-08-21 09:46:13.725346
,holding_company,6,county,string,true,2026-08-21 09:46:13.725346
,holding_company,7,postcode,string,true,2026-08-21 09:46:13.725346
