source_schema,source_table,column_name,contract_data_type,data_domain,distinct_value_count,profiled_at,run_id,job_run_id
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Matching: Gender,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),No vacancy,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Transport issues,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Delays in local authority decision-making,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Matching: Age,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Matching: Compatibility risk,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Matching: Location,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Matching: Staffing skills mix,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Other,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Placement given to another child,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Unable to meet child's needs,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_decline_reason,decline_reason,character varying(9),Unable to meet child's needs after receiving additional information,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Other,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Child placed with Connected Carer,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Child staying in current placement,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Admission to care refused (internal governance),12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Court order not granted,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),No offers received,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Alternative placement type made,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Change of placement request or provision type,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Child placed with internal service,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Child returned to family,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Parent withdrawn S20,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,referral_provider_cancel_reason,cancel_reason,character varying(9),Referral withdrawn by social worker,12,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),Relationship breakdown,14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),Alcohol and substance misuse,14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),Child sexual exploitation (CSE),14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),Gang affiliation,14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),Missing from care,14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),None of these,14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
bronze,ipa_child_support_needs,support_need,character varying(100),Self-harm,14,2026-08-22 17:19:56.837187,3b352ff4-8ed7-4ba3-986c-6e91caea0da8,
