table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
ipa,41,provider_urn,character varying(50),YES,NULL,,NO,,,,,NULL,NULL
ipa,42,education_included_with_referral,boolean,YES,NULL,,NO,,,,,NULL,NULL
ipa,43,education_provision_name,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,44,education_addr_line1,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,45,education_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,46,education_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,47,education_addr_town,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,48,education_addr_postcode,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,49,education_location,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,50,education_length_weeks,integer,YES,NULL,,NO,,,,,NULL,NULL
ipa,51,education_provision_cost,"numeric(19,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,52,costs_total_weekly_fee,"numeric(12,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,53,costs_total_core_costs_weekly_fee,"numeric(12,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,54,core_cost_weekly_fee,"numeric(12,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,55,payment_method,character varying(120),YES,NULL,,NO,,,,,NULL,NULL
ipa,56,invoice_recipient_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,57,invoice_recipient_team,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,58,invoice_recipient_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,59,invoice_addr_line1,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,60,invoice_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,61,invoice_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,62,invoice_addr_town,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,63,invoice_addr_postcode,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,64,schedule_contact_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,65,schedule_contact_phone,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,66,schedule_contact_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,67,schedule_addr_line1,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,68,schedule_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,69,schedule_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,70,schedule_addr_town,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
