table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description,definition_hash,definition_loaded_at,join_class,join_evidence
additional_fee,1,additional_fee_id,uuid,NO,NULL,pk_additional_fee,YES,,,,,Auto Generated Unique Primary Key,Holds key information regarding the addtional fee,97ca6135a3f49ed4ee91e2420db1e0c4d5c7404006502de8909da50c243f3ecc,2026-08-18 16:47:51.418590,,
additional_fee,2,offer_id,uuid,NO,NULL,,NO,fk_offer_additional_fee,offer,offer,offer_id,FK to Offer entity,Holds key information regarding the addtional fee,c78926542c79df9337fac9ff87229438abe8e599d6137b1f9d7f5cf1eba9e4d3,2026-08-18 16:47:51.418590,,
additional_fee,3,fee_title,character varying(9),YES,NULL,,NO,,,,,Fee code,Holds key information regarding the addtional fee,83b101cdc789a8f3480b971ee6fcdb48ae3e3716f03abf4576132135899f2c03,2026-08-18 16:47:51.418590,,
additional_fee,4,number_of_hours,"numeric(6,1)",NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee,e25afff25fe785072fc7b380d349e972531aab7b5872340531b0c9149d4586ae,2026-08-18 16:47:51.418590,,
additional_fee,5,other_fee_title,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee,8105ef953b15a4f4ada415324a122310c2db3f8189ac2ef1da5c61f274aa4c7d,2026-08-18 16:47:51.418590,,
additional_fee,6,fee_frequency,character varying(50),NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee,e2863a83de731a7753b100c9ac27932c0b6ee6f8246a90960f467b6eeaefa943,2026-08-18 16:47:51.418590,,
additional_fee,7,rate,"numeric(6,2)",NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee,2ca70c0cdb4fa700dcafcfa17ff38dd9f948e45b6149c9d33cedf9fcdc8caa04,2026-08-18 16:47:51.418590,,
additional_fee,8,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Holds key information regarding the addtional fee,d71c28adadc1af4a995f583dee2462cbf51226e99240a11678777e8bb16da59b,2026-08-18 16:47:51.418590,,
foster_carer,1,foster_carer_id,uuid,NO,NULL,pk_foster_carer,YES,,,,,NULL,NULL,b5a2eb88c7315ec790a755c8cd15b8f9fde1d958e967972d51fd4bcab6a8f6a4,2026-08-18 16:47:51.418590,,
foster_carer,2,offer_id,uuid,NO,NULL,,NO,fk_foster_carer_offer,offer,offer,offer_id,NULL,NULL,5c12ee4130ad51bc75bcf53d9a6555e501ec20cb44f613e003a002076c337730,2026-08-18 16:47:51.418590,,
foster_carer,3,is_primary_carer,boolean,NO,NULL,,NO,,,,,NULL,NULL,9598b599f442bc0eb9ffcacfae0d4ea15565f5a51aee4989652d305d9f0ae131,2026-08-18 16:47:51.418590,,
foster_carer,4,full_name,character varying(255),NO,NULL,,NO,,,,,NULL,NULL,aea2729f51b7699ea985c142bd985a264f74ad408952866b9e996929d774b447,2026-08-18 16:47:51.418590,,
