schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
document,s3_file_metadata,1,s3_file_metadata_id,uuid,NO,generate_ulid(),pk_document,YES,,,,,Auto Generated Primary Key,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,2,original_filename,character varying(500),NO,NULL,,NO,,,,,The name of the file that has been uploaded,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,3,file_name,character varying(500),YES,NULL,,NO,,,,,? TBD,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,4,s3_bucket,character varying(500),NO,NULL,,NO,,,,,S3 Bucket Name,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,5,object_key,character varying(500),NO,NULL,,NO,,,,,"This is the Folder Path and File including extention

https://docs.aws.amazon.com/AmazonS3/latest/userguide/object-keys.html",This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,6,upload_timestamp,timestamp without time zone,NO,NULL,,NO,,,,,Timestamp created by the S3 Response after upload is complete,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,7,file_size,character varying(50),YES,NULL,,NO,,,,,"TBD - bytes as bigint? or keep as ""text"" with unit description",This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,8,content_type,character varying(100),NO,NULL,,NO,,,,,mime type,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,9,document_name,character varying(100),YES,NULL::character varying,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,10,document_type,character varying(50),YES,NULL::character varying,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,11,expiry_date,date,YES,NULL,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,12,last_updated,date,YES,NULL,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,13,next_review_date,date,YES,NULL,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,14,service_type,character varying(50),YES,NULL::character varying,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,15,home_id,uuid,YES,NULL,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,16,start_date,date,YES,NULL,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
document,s3_file_metadata,17,expiry_data,date,YES,NULL,,NO,,,,,NULL,This table holds file metadata uplated to Amazon S3
ipa,additional_fee,1,additional_fee_id,uuid,NO,generate_ulid(),additional_fee_pkey,YES,,,,,NULL,NULL
ipa,additional_fee,2,ipa_id,uuid,NO,NULL,,NO,fk_additional_fee_ipa,ipa,ipa,ipa_id,NULL,NULL
ipa,additional_fee,3,title,character varying(300),NO,NULL,,NO,,,,,NULL,NULL
